0.1;767218.59139645
0.2;238045.30019835
0.3;105395.09015872
0.4;50994.20075585
0.5;27134.28888181
0.6;15684.41706543
0.7;10008.19408147
0.8;7071.76026498
0.9;5224.4379464
1.0;3577.32663996
1.1;2331.50115639
1.2;1475.79188014
1.3;928.97711239
1.4;584.12789797
1.5;367.22905399
1.6;230.70491502
1.7;144.70213445
1.8;90.48387473
1.9;56.29585303
2.0;34.77590093
2.1;21.27813614
2.2;12.83444741
2.3;7.59055257
2.4;4.36310908
2.5;2.40516626
2.6;1.23203322
2.7;0.54605559
2.8;0.15680913
2.9;-0.0545777
3.0;-0.1612847
3.1;-0.2076594
3.2;-0.2201753
3.3;-0.21443284
3.4;-0.199521
3.5;-0.18066765
3.6;-0.16082367
3.7;-0.14158818
3.8;-0.12377681
3.9;-0.10773984
4.0;-0.09356127
4.1;-0.0811773
4.2;-0.07044785
4.3;-0.06119971
4.4;-0.05325202
4.5;-0.04643081
4.6;-0.04057661
4.7;-0.03554775
4.8;-0.03122101
4.9;-0.02749075
5.0;-0.02426726
5.1;-0.02147479
5.2;-0.01904956
5.3;-0.01693793
5.4;-0.01509476
5.5;-0.01348197
5.6;-0.01206739
5.7;-0.01082375
5.8;-0.00972791
5.9;-0.00876015
6.0;-0.00790365
6.1;-0.00714399
6.2;-0.00646885
6.3;-0.0058676
6.4;-0.00533111
6.5;-0.00485149
6.6;-0.00442192
6.7;-0.00403649
6.8;-0.00369006
6.9;-0.00337818
7.0;-0.00309693
7.1;-0.00284291
7.2;-0.00261313
7.3;-0.00240498
7.4;-0.00221615
7.5;-0.0020446
7.6;-0.00188855
7.7;-0.00174642
7.8;-0.00161679
7.9;-0.00149842
8.0;-0.0013902
8.1;-0.00129116
8.2;-0.00120039
8.3;-0.00111712
8.4;-0.00104065
8.5;-0.00097035
8.6;-0.00090565
8.7;-0.00084604
8.8;-0.00079108
8.9;-0.00074034
9.0;-0.00069347
9.1;-0.00065012
9.2;-0.00061
9.3;-0.00057284
9.4;-0.00053839
9.5;-0.00050641
9.6;-0.00047671
9.7;-0.0004491
