He-He,41.96,2.523,1.461,14.11,183.6,5.62,0.348e-4
Ne-Ne,199.5,2.458,6.383,90.34,1536,5.84,1.34e-4
Ar-Ar,748.3,2.031,64.30,1623,49060,7.10,4.54e-4
Kr-Kr,832.4,1.865,129.6,4187,155500,7.58,6.38e-4
Xe-Xe,951.8,1.681,285.9,12810,619800,8.25,8.96e-4
